name,roaster,roast,origin,rating,review
“Sweety” Espresso Blend,A.R.C.,Medium-Light,Ethiopia,95,"A radiant espresso blend that shines equally in the straight shot and in milk, alive with notes of rich dark chocolate and black cherry."
Flora Blend Espresso,A.R.C.,Medium-Light,Asia Pacific,94,"A floral-driven straight shot, amplified with notes of stone fruit and chocolate in cappuccino-scaled milk."
Ethiopia Shakiso Mormora,Revel Coffee,Medium-Light,Southern Ethiopia,92,"A gently spice-toned, floral- driven wet-processed Ethiopia cup with pleasing notes of cocoa throughout."
Ethiopia Suke Quto,Roast House,Medium-Light,Oromia Region,92,Lavender-like flowers and hints of zesty pink peppercorn animate this crisply sweet wet-processed Ethiopia cup.
Ethiopia Gedeb Halo Beriti,Big Creek Coffee Roasters,Medium,Gedeo Zone,94,"A deeply and generously lush cup saved from sentimentality by a crisp, incense-like, slightly savory edge. Very wide range of aromatics."
Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,Light,Guji Zone,93,"A lively and crisply sweet, fruit-forward natural-processed Ethiopia cup."
Ethiopia Gelgelu Natural Organic,Willoughby's Coffee & Tea,Medium-Light,Southern Ethiopia,93,"A deeply sweet natural-processed Ethiopia cup, with stone fruit and brandy notes as parallel throughlines."
Ethiopia Hambela Alaka,Black Oak Coffee Roasters,Medium-Light,Guji Zone,93,"A delicate, richly sweet wet-processed Ethiopia: spice, herb, fruit and flowers in intricate balance."
Organic Ethiopia Kirite,Wonderstate Coffee,Medium-Light,Guji Zone,93,"An inviting wet-processed Ethiopia cup. Invokes a walk through a citrus orchard in spring, with a bonus of sweet herb and cocoa tones."
Ethiopia Sidama,Reunion Island Coffee,Medium,Southern Ethiopia,94,"An elegantly expressive, fruit-forward but savory-leaning Ethiopia cup."
Thiriku AA Kenya,PT's Coffee Roasting,Medium,Sidama (Also Sidamo) Growing Region,95,"Mysterious and extraordinary in the Kenya style: simultaneously sweet, savory, tart and entirely and grandly vibrant."
Ethiopia Natural Yirgacheffe Tore,Kakalove Cafe,Medium-Light,Yirgacheffe Growing Region,93,"An intense cup, zesty but juicy, alive with rose-like flowers, mint and lime."
Direct Fair Trade Espresso,Level Ground Trading,Medium-Light,South America,92,A solid espresso blend equally pleasing as a straight shot and in milk.
Decaf Ethiopia Sidamo,Old Soul Co.,Medium,Southern Ethiopia,90,"This very light-roasted decaffeinated coffee may suggest a fine, complex Chinese black tea in some respects, though it ultimately enforces its coffee identity with its tart structure and light-footed authority. Oddly idiosyncratic in its aromatics, but quite free of the disturbing wood notes characteristic of many decaffeinated coffees."
Ethiopia Yirgacheffe Washed G1,A.R.C.,Medium-Light,Southern Ethiopia,92,A cup with a fine-tea-like appeal in its subtle complexity and spice-toned presentation.
Ethiopia Yirgacheffe Natural G1,A.R.C.,Medium-Light,Southern Ethiopia,91,A crisply bittersweet cup that leads with spicy florals and sweet herb notes.
“Fruity” Espresso Blend,A.R.C.,Medium-Light,Kenya,95,"Rich, sweet, elegant and cocoa-laden, this espresso blend is nougat-like in the straight shot and fruit- and floral-toned in milk."
Decaf Colombia Select,Bootstrap Coffee Roasters,Medium-Light,Ethiopia,87,"Those who value a gently zesty sweetness should enjoy this delicate decaf cup. Easy on the palate, easy on the nervous system."
Ethiopia Awassa,Paradise Roasters,Medium-Light,Ethiopia,93,"An engaging, confident Ethiopia cup with layered intrigue: flowers, fruit, aromatic wood."
100% Kona SL-28,Hula Daddy Kona Coffee,Medium-Light,North Kona Growing District,97,Coffee simply doesn’t get much better than this. Transcendently classic.
Kenya Kirinyaga Mukangu AB,Kakalove Cafe,Medium-Light,South-Central Kenya,95,"A Kenya that covers all the bases: sweet-tart fruit, savory depth, spicy florals and cocoa."
Kenya Nyeri Othaya Gatugi Red Cherry Project AA,Jackrabbit Java,Medium-Dark,South-Central Kenya,92,A darker roast develops a savory-toned chocolate to complement a zesty citrus in this pleasingly contradictory Kenya.
Ethiopia Washed Yirgacheffe Adado,Kakalove Cafe,Medium-Light,Southern Ethiopia,95,"A bright, lively, juicy washed Yirgacheffe coffee: classic in structure and style."
Outbound Espresso,Propeller Coffee,Medium-Light,Ethiopia,93,"An espresso blend that offers both high-toned florals and low-toned nut and chocolate notes, integrated by a consistent caramel throughline."
Ace Espresso,Propeller Coffee,Medium-Light,Ethiopia,94,"A floral-toned, richly sweet espresso blend: balanced, flavor-laden, driven by notes of narcissus-like flowers."
Kenya Mutungati,Propeller Coffee,Medium-Light,South-Central Kenya,94,"A vibrant fruit- and chocolate-toned Kenya coffee, with an exciting hint of lime zest throughout the profile."
Guatemala El Retiro del Quisaya,Chocolate Fish Coffee Roasters,Light,Chimaltenango Department,93,"Delicate and graceful, yet authoritative in character; seductively sweet."
Kenya Peaberry Kericho County,Caffe Luxxe,Medium-Light,Kenya,92,"An unorthodox but original and engaging variation on the Kenya cup, juxtaposing sweetness and a musky, herby-savory edge."
Static El Salvador Finca Maria Luisa,Espresso Republic,Medium-Light,La Unión Department,89,"Those who value brisk, dry beverages should enjoy this coffee and its quiet, unorthodox aromatic intrigue."
Kamwangi Kenya,Lexington Coffee Roasters,Medium-Light,Kirinyaga County,93,"Resonantly pungent Kenya, particularly attractive for its structure: sweet, tart and savory all at once, zesty yet seductive. Holds its character superbly as it cools."
Ethiopia Gelana Abaya,Big Creek Coffee Roasters,Medium-Light,Southern Ethiopia,92,"Spicy-sweet, autumnal profile, complex and grown-up."
Ethiopia Bishan Fugu,Noble Coffee Roasting,Light,Guji Zone,93,"A richly elegant cup that leads with deep fruit notes, as do many natural- processed coffees, though here the fruit is complicated by an engaging musk-like intrigue."
Sustainable Harvest Homacho Waeno Natural,Red E Café,Light,Sidama (Also Sidamo) Growing Region,93,"A natural-processed Ethiopia coffee of intriguing depth, with a wide range of aroma/flavor notes, savory pipe tobacco to high-toned, spicy florals, to crisply sweet citrus marmalade."
Ethiopia Amaro Gayo Natural,Ben's Beans,Medium-Light,Southern Ethiopia,92,"The overall impression of this natural-processed Yirgacheffe cup is equal parts dried fruit and chocolate, nicely elaborated by spice suggestions (cinnamon, clove, nutmeg)."
Static Colombia Decaf Midnight,Espresso Republic,Medium,Colombia,89,"A solid, chocolate-toned decaf with inviting fruit and floral tones."
Diima #9 Ethiopia Natural,Roast House,Medium-Light,Southern Ethiopia,93,"This natural-processed Yirgacheffe’s hint of sweet, rum-like fruit ferment gives the cup a distinct holiday feel."
Sweet Holiday Blend,Red Rooster Coffee Roaster,Medium-Light,Kenya,93,"A brightly juicy, sweet blend with richly layered holiday nuance: chocolate, clove, date."
DR Congo Virunga Organic,Speckled Ax,Medium-Light,North Kivu Province,93,"An exciting coffee from a newly emerging eastern Congo growing region: savory-edged, richly sweet, invitingly pungent."
Holiday Blend,Fumi Coffee,Light,Costa Rica,93,"A lovely blend of four exceptional coffees that nets a crisp, very sweet, pleasingly herb-toned cup."
Kenya Thaitu,Good Folks Coffee,Medium-Light,South-Central Kenya,95,"A spice-toned, floral- and fruit-driven Kenya coffee, grounded by rich chocolate notes with hints of sweet pipe tobacco."
Yule Blend 2018,Flight Coffee Co.,Medium-Light,South-Central Kenya,94,"A balanced, savory-leaning and richly sweet blend of two quality coffees from Kenya, netting a vibrantly high-toned, spice-driven cup."
Los Congos Pacamara Honey,Dragonfly Coffee Roasters,Light,Nicaragua,93,"An umami-driven Pacamara coffee, with a throughline of berry and sundried tomato notes: sweet and savory in harmonious balance."
Coffea Diversa Costa Rica Sudan Rume,OQ Coffee Co.,Medium-Light,Southern Costa Rica,93,"A fine introduction to a rare variety of Arabica, Sudan Rume: crisp, bright, sweetly tart."
Ethiopia Banko Gotiti Natural G1,Green Stone Coffee,Light,Yirgacheffe Growing Region,94,"An inviting natural-processed coffee from Ethiopia: sweetly tart, fruit-forward."
Panama Auromar Geisha Natural,Willoughby's Coffee & Tea,Medium-Light,Chiriqui Province,96,"A dynamic coffee with complex aromatics that invoke the tropics—and a seemingly infinite finish, richly sweet and flavor-saturated."
El Salvador Finca Kilimanjaro,Bird Rock Coffee Roasters,Medium-Light,El Salvador,95,"A graceful, generously fruit- and floral-toned El Salvador cup with an exceptionally balanced structure and juicy acidity."
Panama Elida Green Tip Gesha Natural,Equator Coffees & Teas,Medium-Light,Western Panama,94,"An elegant, richly sweet natural-processed Panama Gesha with berry and chocolate notes throughout."
Gikanda Kenya,JBC Coffee Roasters,Medium-Light,Boquete Growing Region,96,"Superb version of the classic sweet-savory, crisply juicy, fragrantly floral-edged Kenya cup."
Panama Don Julian Pacamara,Willoughby's Coffee & Tea,Medium-Light,Chiriqui Province,95,"Superb Pacamara profile, crisply dry and spicy yet deeply, lavishly juicy sweet."
100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,Medium-Light,North Kona Growing District,95,"Intense, bright but balanced cup with layered aromatic intrigue generated by a celebrated and rare tree variety."
Kenya AB Muchoki,Klatch Coffee,Medium-Light,South-Central Kenya,95,"The exciting Kenya tension between sweet and savory-tart is on display here, but a bit softer in expression perhaps, more tropical, than usual. A relaxed Kenya, authoritative yet delicate and approachable."
Colombia Nariño Duende,Paradise Roasters,Medium-Light,Southern Colombia,93,"Low-toned and deeply rich, reminiscent of Ibarra Mexican chocolate with cinnamon, enveloped in fruit and nut tones."
Geisha Panama Santamaria Natural,Campos Coffee,Medium-Light,Volcan,95,Both elegantly balanced and subtly grand in detail; a quietly spectacular rendition of the Gesha profile.
Estate Medium Roast,Ka'u Specialty Coffee,Medium-Light,Big Island Of Hawaii,93,A coffee both classic in its crisp clarity and subtly original in its high-toned fruit and floral aromatics.
Ethiopia Holy Grail Natural Yirgacheffe,Simon Hsieh’s Aroma Roast Coffees,Medium,Southern Ethiopia,93,"In the straight shot, dark chocolate and tart fruit reign; in milk, spicy floral notes wrapped in chocolate carry the day."
Kenya Karinga,Amavida Coffee Roasters,Medium-Light,Thika Province,92,An intense yet accessible Kenya animated by a zesty but very sweet structure and an intriguing range of aromatics.
Thailand Doi Pangkhon Espresso,Paradise Roasters,Medium,Northern Thailand,91,"A bright, vivid espresso: Tart citrus in front, enveloped by a softening chocolate."
Ulos Batak Sumatra,JBC Coffee Roasters,Medium-Light,Indonesia,96,"An intricately layered, superb Sumatra cup saturated with chocolate, spicy floral and sweet fruit notes, with gentle intimations of rich perique tobacco."
Gaitania Colombia,JBC Coffee Roasters,Light,West-Central Colombia,91,"An inviting and accessible Colombia cup, sweet-toned with a hint of cardamom-like spice."
Blue Label La Esmeralda Porton Pascua Gesha,PT's Coffee Roasting,Medium-Light,Western Panama,95,A symphonic Gesha cup: high-toned fruit and flowers are supported by spice and aromatic wood.
Auromar Gesha Natural,PT's Coffee Roasting,Light,Chiriqui Province,93,"A crisp, deeply sweet natural-processed Gesha cup: chocolaty, fruit-toned and floral."
Haraz Special Red Yemen,PT's Coffee Roasting,Light,North-Central Yemen,92,"An attractively idiosyncratic cup from one of coffee’s ancient homelands: mildly fermenty, richly fruity-toned, with hints of earth and tobacco."
“Naturals”,Hala Tree Kona Coffee,Medium-Light,North Kona Growing District,92,"A fruit-driven, but crisp natural-processed Kona cup that’s also certified organic."
Finca Merced Guatemala,Chocolate Fish Coffee Roasters,Light,Guatemala,93,"A sweetly bright, cocoa-toned Guatemala cup with engaging stone fruit and aromatic wood complications."
El Peñon Nicaragua,Barrington Coffee Roasting,Light,Nicaragua,94,"Coffee Review’s highest scoring Nicaragua coffee of 2017: crystalline in structure, intensely aromatic, deeply and richly sweet."
Kenya Chorongi Peaberry,Speckled Ax,Medium-Light,Nyeri Growing Region,95,"A classic Kenya cup: richly sweet-savory, with a complex array of fruit, floral, chocolate and aromatic wood notes at its intense and inviting heart."
Honduras Los Catadores Honey,Kakalove Cafe,Medium-Light,La Paz Department,93,"A solid single-origin Central America espresso, chocolate-toned throughout, with pretty floral and citrus zest grace notes."
Static Kenya Kavutiri,Espresso Republic,Medium-Light,South-Central Kenya,92,"A delicate, spice-driven Kenya cup with engaging undercurrents of fruit, floral and chocolate."
Honduras La Lesquinada Washed,Kakalove Cafe,Medium-Light,Honduras,92,"Makes a particularly appealing espresso in cappuccino-scaled milk: chocolaty, with intense fruit and floral complication."
Kenya Gicherori,The WestBean Coffee Roasters,Medium-Light,South-Central Kenya,91,"A round, sweetly savory Kenya enlivened by the quiet intrigue of vanilla-like flowers and crisp chocolate."
Ethiopia Yirgacheffe,Mystic Monk Coffee,Medium,Southern Ethiopia,90,"A resonant, chocolate-toned Yirgacheffe cup, deeply sweet with floral and aromatic wood undertones."
Bufcafe Rwanda Espresso,JBC Coffee Roasters,Medium-Light,Southern Province,93,"An unapologetically savory-sweet coffee, especially attractive in milk, where both basic taste tendencies are enhanced by notes of tamarind and citrus zest."
Bufcafe Rwanda,JBC Coffee Roasters,Light,Southern Province,93,"A superior Rwanda cup, classically sweet-savory with an appealing high-toned crispness."
Gedeb Ethiopia,JBC Coffee Roasters,Medium-Light,Gedeo Zone,95,"A big, juicy wet-processed Ethiopia cup laden with rich floral and fruit tones throughout, all enveloped in dark chocolate."
Civet Yirgacheffe Sisota,"Good Chance Biotechnology, Ltd.",Medium-Light,South-Central Ethiopia,93,An impressively rich sweet-savory cup with a throughline of fennel-like herb notes. Interesting both for its unusual cup and its unusual processing variation.
Civet Ethiopia Papilio Sidamo,"Good Chance Biotechnology, Ltd.",Medium-Light,South-Central Ethiopia,93,"A Sidamo coffee processed by the dry or natural method and treated with a cultured essence of kopi luwak that together net richly ripe fruit notes, cocoa tones, and a pleasing hint of sweet ferment."
Estate Carbonic Maceration,Ka'u Specialty Coffee,Medium-Light,Big Island Of Hawaii,90,"Delicately bittersweet and cocoa-toned, with flowers hinting at lushness."
Ethiopia Banko Gotiti,Red Rooster Coffee Roaster,Light,Yirgacheffe Growing Region,94,"A juicy-sweet Ethiopia natural cup: lively and fruit-toned, with a hint of elegant, rum-like sweet ferment."
Colombia David Gomez 100% Caturra,Manzanita Roasting Company,Light,Southern Colombia,92,"Engaging Colombia cup with impressively juicy, bright acidity and zesty, spice-toned aromatics."
Panama Auromar Estate Geisha Peaberry,Bird Rock Coffee Roasters,Medium-Light,Chiriqui Province,95,"A vibrant, exhilarating natural-processed peaberry Gesha saturated with rich floral, spice and fruit aromas and flavors throughout the profile."
Indonesia Emerald Mandheling,A.R.C.,Medium-Light,Aceh Province,92,"Complex and dynamic in structure, balancing tart, sweet and bitter, with deeply layered and complex aromatics."
Panama Finca Hartmann Geisha Natural,Temple Coffee and Tea,Light,Far Western Panama,95,"An exciting natural-processed Geisha that leads with juicy fruit notes and deeply sweet florals, all wrapped in frankincense and cocoa."
Ethiopia Reko Estate Yirgacheffe,Temple Coffee and Tea,Medium-Light,Southern Ethiopia,92,"Expresses the deep, spicy-sweet side of the Yirgacheffe profile, engaging in its balance of savory depth and perfumy sweetness."
Costa Rica Sonora Estate Venecia Natural,Temple Coffee and Tea,Medium-Light,Costa Rica,91,"An engaging natural-processed Costa Rica cup, with top notes of peach and undercurrents of wood-framed florals throughout."
Mini-Me Washed Kaffa Forest,Simon Hsieh’s Aroma Roast Coffees,Medium-Dark,Southern Ethiopia,95,"A dynamic trifecta of flowers, fruit and chocolate in both the shot and in cappuccino-scaled milk."
Jade Espresso,Magnolia Coffee,Medium-Light,Yirgacheffe Growing Region,94,"Deep, rich, gently tart, chocolaty as a straight shot; gloriously dessert-like in three parts milk."
Firebird Espresso,Charlotte Coffee Company,Medium-Light,Costa Rica,93,"An evocative, richly sweet espresso blend centered on deep chocolate with rich floral and bright citrus undertones."
