Store Name,City,State/Province,Country,Phone Number,Timezone,Longitude,Latitude
Meritxell 96,Andorra la Vella,7,AD,376818720,GMT+1:00 Europe/Andorra,1.53,42.51
Ajman Drive Thru,Ajman,AJ,AE,,GMT+04:00 Asia/Dubai,55.47,25.42
Dana Mall,Ajman,AJ,AE,,GMT+04:00 Asia/Dubai,55.47,25.39
Twofour 54,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.38,24.48
Al Ain Tower,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.54,24.51
"Dalma Mall, Ground Floor",Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.49,24.4
"Dalma Mall, Level 1",Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.49,24.4
Debenhams Yas Mall,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.61,24.46
Khalidiya Street,Abu Dhabi,AZ,AE,26670052,GMT+04:00 Asia/Muscat,55.69,24.19
Eastern Mangroves,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.38,24.48
Nation Towers,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.34,24.47
HCT Abu Dhabi Women's College Block,Abu Dhabi,AZ,AE,26426280,GMT+04:00 Asia/Dubai,54.37,24.49
Standard Chartered Building,Abu Dhabi,AZ,AE,26359275,GMT+04:00 Asia/Muscat,55.69,24.19
International Tower,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.7,24.3
Yas Mall 3,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.6,24.48
Blue Tower A,Abu Dhabi,AZ,AE,26429255,GMT+04:00 Asia/Muscat,55.74,24.21
Corniche Park DT,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.34,24.47
Khalidiya Mall,Abu Dhabi,AZ,AE,26354740,GMT+04:00 Asia/Dubai,54.35,24.47
Al Wahda Mall,Abu Dhabi,AZ,AE,24437197,GMT+04:00 Asia/Dubai,54.37,24.47
Al Seef Village,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.38,24.48
Shangri-La Souq,Abu Dhabi,AZ,AE,25581641,GMT+04:00 Asia/Dubai,54.51,24.42
"Abu Dhabi University, Men's",Abu Dhabi,AZ,AE,24433824,GMT+04:00 Asia/Dubai,54.35,24.46
MUshrif Mall 1,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.66,24.41
Boutik Mall Sun & Sky,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.41,24.5
Marina Mall,Abu Dhabi,AZ,AE,02-6815883,GMT+04:00 Asia/Dubai,54.32,24.47
Abu Dhabi University Women's,Abu Dhabi,AZ,AE,25860492,GMT+04:00 Asia/Dubai,54.57,24.35
Hamdan Street,Abu Dhabi,AZ,AE,02-6261001,GMT+04:00 Asia/Muscat,55.62,24.21
Saadiyat Island,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.44,24.54
Camellia Flowers,Abu Dhabi,AZ,AE,02-6355542,GMT+04:00 Asia/Dubai,54.34,24.47
Deerfields,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.94,24.9
Abu Dhabi Mall,Abu Dhabi,AZ,AE,02-6454914,GMT+04:00 Asia/Dubai,54.37,24.5
Zayed University,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.6,24.4
Bawabat Al Sharq,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Muscat,55.77,24.48
Guardian Tower,Abu Dhabi,AZ,AE,02 6414214,GMT+04:00 Asia/Dubai,54.44,24.43
Ferrari World Welcome Pavilion,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.61,24.46
Al Mamoura,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.39,24.46
Ministry of Interior,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.39,24.43
ADNOC Mushrif,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.66,24.41
Twin Towers 13th Street,Abu Dhabi,AZ,AE,26430239,GMT+04:00 Asia/Dubai,55.53,23.85
Al Falah Community,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.37,24.47
Abu Dhabi Police HQ,Abu Dhabi,AZ,AE,02 4093231,GMT+04:00 Asia/Dubai,54.37,24.52
Western Region,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.37,24.48
Raha Garden,Abu Dhabi,AZ,AE,,GMT+04:00 Asia/Dubai,54.37,24.47
Al Ain Ladies Club,Al Ain,AZ,AE,,GMT+04:00 Asia/Muscat,55.4,24.12
Jahli Park,Al Ain,AZ,AE,,GMT+04:00 Asia/Dubai,55.29,25.24
Tawam Hospital,Al Ain,AZ,AE,37677581,GMT+04:00 Asia/Muscat,55.65,24.19
Jimmy Mall,Al Ain,AZ,AE,37627680,GMT+04:00 Asia/Muscat,55.73,24.24
Al Ain Mall,Al Ain,AZ,AE,03 7849281,GMT+04:00 Asia/Dubai,55.39,25.1
Bawadi Mall,Al Ain,AZ,AE,37840012,GMT+04:00 Asia/Muscat,55.81,24.16
Wahat Hili Mall,Al Ain,AZ,AE,,GMT+04:00 Asia/Muscat,55.69,24.21
Oasis Hospital,Al Ain,AZ,AE,,GMT+04:00 Asia/Muscat,55.8,24.13
YAS Mall,Abu Dhabi,DU,AE,,GMT+04:00 Asia/Dubai,54.47,24.41
Al Ruwais Mall,Abu Dhabi,DU,AE,,GMT+04:00 Asia/Dubai,54.63,24.29
Shamkha Mall,Abu Dhabi,DU,AE,,GMT+04:00 Asia/Dubai,54.69,24.39
Al Barsha Commercial,Al Barsha,DU,AE,44549383,GMT+04:00 Asia/Dubai,55.23,25.05
Umm Sequeim,Dubai,DU,AE,43952230,GMT+04:00 Asia/Dubai,55.23,25.17
Reel Cinema,Dubai,DU,AE,,GMT+04:00 Asia/Muscat,55.6,24.78
Dubai Airport Concourse 3,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.35,25.25
City Walk - Dubai,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.31,25.27
DIFC 2,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.16,25.1
The Residence Tower 1,Dubai,DU,AE,44200636,GMT+04:00 Asia/Dubai,55.27,25.19
Emirates Tower,Dubai,DU,AE,04-3303363,GMT+04:00 Asia/Dubai,55.28,25.21
Dubai Marina,Dubai,DU,AE,04-3675468,GMT+04:00 Asia/Dubai,55.15,25.08
Dubai Airport - Concourse D West,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.35,25.25
Mall of the Emirates - Ski #2,Dubai,DU,AE,43410034,GMT+04:00 Asia/Dubai,55.2,25.12
Bin Sougat,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.4,25.23
Old Town Amenity Building,Dubai,DU,AE,44309436,GMT+04:00 Asia/Dubai,55.28,25.19
Atlantis,Dubai,DU,AE,44261435,GMT+04:00 Asia/Dubai,55.12,25.13
Jumeirah Beach Road,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.14,25.08
Oasis Centre,Dubai,DU,AE,43307155,GMT+04:00 Asia/Dubai,55.24,25.17
Jumeirah Beach Residence 3 P24a,Dubai,DU,AE,44355728,GMT+04:00 Asia/Dubai,55.13,25.07
Dubai Airport T1 Landside Departure,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.31,25.27
Old Town Commercial Island,Dubai,DU,AE,44200343,GMT+04:00 Asia/Dubai,55.28,25.19
Al Gurrair Mall,Dubai,DU,AE,04-2212559,GMT+04:00 Asia/Dubai,55.32,25.27
Jumeirah Beach Residence 6 GM10,Dubai,DU,AE,44233862,GMT+04:00 Asia/Dubai,55.13,25.07
Atlantis The Avenues,Dubai,DU,AE,44573106,GMT+04:00 Asia/Dubai,55.12,25.13
Jumeirah Villa,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.23,25.19
Mercato Town Centre,Dubai,DU,AE,04-3449611,GMT+04:00 Asia/Dubai,55.25,25.22
Emaar Business Park,Dubai,DU,AE,44224888,GMT+04:00 Asia/Dubai,55.17,25.1
DBX - Term 2 Landside,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.31,25.27
DED,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.33,25.26
Burj Dubai Business Park,Dubai,DU,AE,44257991,GMT+04:00 Asia/Dubai,55.27,25.2
Motor City,Dubai,DU,AE,44475527,GMT+04:00 Asia/Dubai,55.24,25.05
ENOC 1001,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.35,25.27
Riverland,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.19,25.11
Me'Aissem City Center,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.19,25.03
Etihad Mall,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.42,25.23
Park Place Showmax,Dubai,DU,AE,43428399,GMT+04:00 Asia/Dubai,55.24,25.2
Arabian Centre,Dubai,DU,AE,04 2845433,GMT+04:00 Asia/Dubai,55.46,25.26
Dubai Airport - Concourse D East,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.35,25.25
Gardens 3,Dubai,DU,AE,43685991,GMT+04:00 Asia/Dubai,55.12,25.04
Dubai Mall LG 118,Dubai,DU,AE,43398434,GMT+04:00 Asia/Dubai,55.28,25.2
Deira City Center 4,Dubai,DU,AE,04-2948442,GMT+04:00 Asia/Dubai,55.33,25.25
Sahara Tower,Dubai,DU,AE,04 3316164,GMT+04:00 Asia/Dubai,55,24.92
Shindagha Centre,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.28,25.24
Dubai Academic City,Dubai,DU,AE,44503886,GMT+04:00 Asia/Dubai,55.42,25.13
Madina Jumeirah,Dubai,DU,AE,43686188,GMT+04:00 Asia/Dubai,55.19,25.13
21st Century Tower,Dubai,DU,AE,04-3250028,GMT+04:00 Asia/Dubai,55.28,25.21
Gardens 2,Dubai,DU,AE,43685986,GMT+04:00 Asia/Dubai,55.12,25.05
Mirdif City Center - Central Atrium,Dubai,DU,AE,42316740,GMT+04:00 Asia/Dubai,55.41,25.22
Health Care City Dubai,Dubai,DU,AE,43624858,GMT+04:00 Asia/Dubai,55.33,25.23
Dubai Mall G 223,Dubai,DU,AE,43398637,GMT+04:00 Asia/Dubai,55.28,25.2
Wafi Mall,Dubai,DU,AE,04-3243641,GMT+04:00 Asia/Dubai,55.28,25.25
Dubai Mall 4,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.44,25.04
Uptown Mirdif,Dubai,DU,AE,42888102,GMT+04:00 Asia/Dubai,55.43,25.23
Deira City Center Mall,Dubai,DU,AE,42958543,GMT+04:00 Asia/Dubai,55.33,25.25
Palm Strip,Dubai,DU,AE,04-3453808,GMT+04:00 Asia/Dubai,55.26,25.23
Starbuck Box Park,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.27,25.23
JBR 1 Rimal Plaza,Dubai,DU,AE,44355751,GMT+04:00 Asia/Dubai,55.13,25.07
Dubai Festival City,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.31,25.27
Al Ghadeer Tower,Dubai,DU,AE,04-3295676,GMT+04:00 Asia/Dubai,55.28,25.22
Jebel Ali,Dubai,DU,AE,04-8816680,GMT+04:00 Asia/Dubai,55.09,24.99
MoE Level 2 Extension,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.2,25.12
Borders  Mall of the Emirates,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.2,25.12
Movenpick,Dubai,DU,AE,43374720,GMT+04:00 Asia/Dubai,55.31,25.23
Dubai Marina Mall,Dubai,DU,AE,44342660,GMT+04:00 Asia/Dubai,55.14,25.08
Mudon,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.31,25.27
JBR 2 Rimal Marina,Dubai,DU,AE,44233751,GMT+04:00 Asia/Dubai,55.14,25.08
Jumeirah Beach Residence 4 GM09,Dubai,DU,AE,44233770,GMT+04:00 Asia/Dubai,55.14,25.08
Starbucks - Boulevard Plaza,Dubai,DU,AE,,GMT+04:00 Asia/Dubai,55.16,25.11
DBX - Dubai Airport Terminal 3 C201,Dubai,DU,AE,42203661,GMT+04:00 Asia/Dubai,55.35,25.25
DBX - Dubai Airport Terminal 3 C207,Dubai,DU,AE,42203990,GMT+04:00 Asia/Dubai,55.35,25.25
Gardens 1,Dubai,DU,AE,43685403,GMT+04:00 Asia/Dubai,55.12,25.04
